_id,id,urlParams,bot,readyAt,timeoutStartedAt,timeoutWaitCount,exitStepsDone,exitAt,exitStatus,retiredAt,retiredReason,createdAt,lastLogin,data.introQuiz,data.avatar,data.score,data.exitQuiz
dPwvBKYMWGw7TmXz3,my_id_123,{},,2020-12-07T19:32:15Z,,,,2020-12-08T22:40:49Z,gameCancelled,,,2020-12-07T19:32:09Z,{""at"":""2021-02-02T17:43:46.427Z""},"{""goal"":""true"",""selectorColor"":""true"",""bonus"":""true""}",/avatars/jdenticon/dPwvBKYMWGw7TmXz3,0,
TcvjtxqR7TWAgYxZu,my_id,{},,2020-12-08T01:29:46Z,,,,2020-12-08T22:40:49Z,gameCancelled,,,2020-12-08T01:29:40Z,{""at"":""2020-12-08T01:29:40.529Z""},"{""goal"":""true"",""selectorColor"":""true"",""bonus"":""true""}",/avatars/jdenticon/TcvjtxqR7TWAgYxZu,0,
YadjpDLjw8eH2wfYH,adsdasadsads,{},,2020-12-08T01:31:57Z,,,,2020-12-08T22:40:49Z,gameCancelled,,,2020-12-08T01:31:50Z,{""at"":""2020-12-08T01:31:50.853Z""},"{""goal"":""true"",""selectorColor"":""true"",""bonus"":""true""}",/avatars/jdenticon/YadjpDLjw8eH2wfYH,0,
QAQnN8ytWRuhd7z4R,1234,{},,2020-12-08T17:03:26Z,,,,2020-12-08T22:40:49Z,gameCancelled,,,2020-12-08T17:03:18Z,{""at"":""2021-01-26T22:38:41.202Z""},"{""goal"":""true"",""selectorColor"":""true"",""bonus"":""true""}",/avatars/jdenticon/QAQnN8ytWRuhd7z4R,0,
3hx7B6r4Wschas7XS,jj,{},,2020-12-08T22:40:53Z,,,ExitSurvey,2020-12-08T22:49:24Z,finished,,,2020-12-08T22:40:46Z,{""at"":""2021-02-26T01:34:01.090Z""},"{""goal"":""true"",""selectorColor"":""true"",""bonus"":""true""}",/avatars/jdenticon/3hx7B6r4Wschas7XS,0,"{""task1"":""easy"",""task2"":""hard"",""task3"":""med"",""feedback"":""""}"
4MPvNkm8v4xAJju9t,this_is_brian,{},,2021-01-07T23:01:41Z,,,ExitSurvey,2021-01-14T00:35:07Z,gameCancelled,,,2021-01-07T23:01:26Z,{""at"":""2021-01-07T23:01:27.014Z""},"{""goal"":""true"",""selectorColor"":""true"",""bonus"":""true""}",/avatars/jdenticon/4MPvNkm8v4xAJju9t,0,"{""task1"":""easy"",""task2"":""med"",""task3"":""hard"",""feedback"":""""}"
ZrNQZKfR7a6uJxyoE,2345,{},,2021-01-09T05:25:39Z,,,ExitSurvey,2021-01-14T00:35:07Z,gameCancelled,,,2021-01-09T05:25:12Z,{""at"":""2021-01-09T05:25:12.807Z""},"{""goal"":""true"",""selectorColor"":""true"",""bonus"":""true""}",/avatars/jdenticon/ZrNQZKfR7a6uJxyoE,0,"{""task1"":""easy"",""task2"":""med"",""task3"":""hard"",""feedback"":""nope""}"
deMjsNCw25cSvemyA,34456,{},,2021-01-12T22:44:17Z,,,,2021-01-14T00:35:07Z,gameCancelled,,,2021-01-12T22:44:11Z,{""at"":""2021-01-12T22:45:46.629Z""},"{""goal"":""true"",""selectorColor"":""true"",""bonus"":""true""}",/avatars/jdenticon/deMjsNCw25cSvemyA,0,
NrmKWbfnAkiLqT4MH,asdadsdasdasd,{},,2021-01-14T00:34:57Z,,,,2021-01-14T00:35:07Z,gameCancelled,,,2021-01-14T00:34:52Z,{""at"":""2021-01-14T00:35:02.402Z""},"{""goal"":""true"",""selectorColor"":""true"",""bonus"":""true""}",/avatars/jdenticon/NrmKWbfnAkiLqT4MH,0,
JhgQ2jRkf6QRmTxKX,asd123123123,{},,2021-01-14T00:35:44Z,,,,2021-01-14T00:37:07Z,gameCancelled,,,2021-01-14T00:35:39Z,{""at"":""2021-01-14T00:35:39.686Z""},"{""goal"":""true"",""selectorColor"":""true"",""bonus"":""true""}",/avatars/jdenticon/JhgQ2jRkf6QRmTxKX,0,
xnToMAE8miYnhaPrm,asd123das121323566,{},,2021-01-14T00:37:50Z,,,,2021-02-18T00:19:05Z,gameCancelled,,,2021-01-14T00:37:40Z,{""at"":""2021-01-14T00:37:40.625Z""},"{""goal"":""true"",""selectorColor"":""true"",""bonus"":""true""}",/avatars/jdenticon/xnToMAE8miYnhaPrm,0,
hSWJLJvoAsurJiAtS,ads23424,{},,2021-01-15T02:09:02Z,,,,2021-02-18T00:19:05Z,gameCancelled,,,2021-01-15T02:08:57Z,{""at"":""2021-01-15T02:08:57.501Z""},"{""goal"":""true"",""selectorColor"":""true"",""bonus"":""true""}",/avatars/jdenticon/hSWJLJvoAsurJiAtS,0,
